MCC;TCC;MCC Category;Категория МСС;MCC Sub-Category;Подкатегория МСС;Description;Группа МСС;
3077;X;Transportation;Перевозки;Airlines;Авиакомпании;Thai Airways—THAIAIRW;;
3078;X;Transportation;Перевозки;Airlines;Авиакомпании;China Airlines—CHINAAIR;;
3079;X;Transportation;Перевозки;Airlines;Авиакомпании;Jetstar Airways—JETSTAR;;
3081;X;Transportation;Перевозки;Airlines;Авиакомпании;Nordair;;
3082;X;Transportation;Перевозки;Airlines;Авиакомпании;Korean Airlines—KOREAN;;
3083;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Afrique—AIR AFRIQ;;
3084;X;Transportation;Перевозки;Airlines;Авиакомпании;Eva Airways—EVA AIR;;
3085;X;Transportation;Перевозки;Airlines;Авиакомпании;Midwest Express Airlines—MIDWEST;;
3086;X;Transportation;Перевозки;Airlines;Авиакомпании;Carnivalair;;
3087;X;Transportation;Перевозки;Airlines;Авиакомпании;Metro Airlines—METROAI;;
3088;X;Transportation;Перевозки;Airlines;Авиакомпании;Croatia Air—CROATIA;;
3089;X;Transportation;Перевозки;Airlines;Авиакомпании;Transaero—TRANSAERO;;
3090;X;Transportation;Перевозки;Airlines;Авиакомпании;Uni Airways—UNIAIR;;
3092;X;Transportation;Перевозки;Airlines;Авиакомпании;Midway Airlines;;
3094;X;Transportation;Перевозки;Airlines;Авиакомпании;Zambia Airways—ZAMBIA A;;
3095;X;Transportation;Перевозки;Airlines;Авиакомпании;Wardair (canada);;
3096;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Zimbabwe—AIRZIMBA;;
3097;X;Transportation;Перевозки;Airlines;Авиакомпании;Spanair—SPANAIR;;
3098;X;Transportation;Перевозки;Airlines;Авиакомпании;Asiana Airlines—ASIANA;;
3099;X;Transportation;Перевозки;Airlines;Авиакомпании;Cathay Pacific—CATHAYPA;;
3100;X;Transportation;Перевозки;Airlines;Авиакомпании;Malaysian Airline System—MALAY AI;;
3102;X;Transportation;Перевозки;Airlines;Авиакомпании;Iberia—IBERIA;;
3103;X;Transportation;Перевозки;Airlines;Авиакомпании;Garuda (Indonesia)—GARUDA;;
3106;X;Transportation;Перевозки;Airlines;Авиакомпании;Braathens S.A.F.E. (Norway)—BRAATHEN;;
3110;X;Transportation;Перевозки;Airlines;Авиакомпании;Wings Airways;;
3111;X;Transportation;Перевозки;Airlines;Авиакомпании;British Midland—BRITISH M;;
3112;X;Transportation;Перевозки;Airlines;Авиакомпании;Windward Island—WINDWARD;;
3115;X;Transportation;Перевозки;Airlines;Авиакомпании;Tower Air;;
3117;X;Transportation;Перевозки;Airlines;Авиакомпании;Venezolana International de Aviacion—VIASA;;
3118;X;Transportation;Перевозки;Airlines;Авиакомпании;Valley Airlines;;
3125;X;Transportation;Перевозки;Airlines;Авиакомпании;Tan Airlines—TAN AIR;;
3126;X;Transportation;Перевозки;Airlines;Авиакомпании;Talair;;
3127;X;Transportation;Перевозки;Airlines;Авиакомпании;Taca International—TACA INT;;
3129;X;Transportation;Перевозки;Airlines;Авиакомпании;Surinam Airways—SURINAM;;
3130;X;Transportation;Перевозки;Airlines;Авиакомпании;Sunworld International Airways—SUNWORLD;;
3131;X;Transportation;Перевозки;Airlines;Авиакомпании;VLM Airlines—VLM;;
3132;X;Transportation;Перевозки;Airlines;Авиакомпании;Frontier Airlines—FRONTIER;;
3133;X;Transportation;Перевозки;Airlines;Авиакомпании;Sunbelt Airlines;;
3135;X;Transportation;Перевозки;Airlines;Авиакомпании;Sudan Airways;;
3136;X;Transportation;Перевозки;Airlines;Авиакомпании;Qatar Airways Company W.L.L.—QATAR AIR;;
3137;X;Transportation;Перевозки;Airlines;Авиакомпании;Singleton;;
3138;X;Transportation;Перевозки;Airlines;Авиакомпании;Simmons Airlines;;
3143;X;Transportation;Перевозки;Airlines;Авиакомпании;Scenic Airlines;;
3144;X;Transportation;Перевозки;Airlines;Авиакомпании;Virgin Atlantic—VIR ATL;;
3145;X;Transportation;Перевозки;Airlines;Авиакомпании;San Juan;;
3146;X;Transportation;Перевозки;Airlines;Авиакомпании;Luxair—LUXAIR;;
3148;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Littoral, S.A.—LITTORAL;;
3151;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Zaire—AIRZAIRE;;
3154;X;Transportation;Перевозки;Airlines;Авиакомпании;Princeville;;
3156;X;Transportation;Перевозки;Airlines;Авиакомпании;GO FLY Ltd.—GOFLY;;
3159;X;Transportation;Перевозки;Airlines;Авиакомпании;Provincetown-Boston Airways—PBA;;
3161;X;Transportation;Перевозки;Airlines;Авиакомпании;All Nippon Airways—ANAAIR;;
3164;X;Transportation;Перевозки;Airlines;Авиакомпании;Norontair—NORONTAI;;
3165;X;Transportation;Перевозки;Airlines;Авиакомпании;New York Helicopter;;
3167;X;Transportation;Перевозки;Airlines;Авиакомпании;Aero Continente—AERO CONT;;
3170;X;Transportation;Перевозки;Airlines;Авиакомпании;Mount Cook;;
3171;X;Transportation;Перевозки;Airlines;Авиакомпании;Canadian Airlines—CANADIAN;;
3172;X;Transportation;Перевозки;Airlines;Авиакомпании;Nation Air—NATIONAI;;
3174;X;Transportation;Перевозки;Airlines;Авиакомпании;JetBlue Airways—JETBLUE;;
3175;X;Transportation;Перевозки;Airlines;Авиакомпании;Middle East Air—MIDEASTA;;
3176;X;Transportation;Перевозки;Airlines;Авиакомпании;Metroflight Airlines;;
3177;X;Transportation;Перевозки;Airlines;Авиакомпании;AirTran Airways—AIRTRAN A;;
3178;X;Transportation;Перевозки;Airlines;Авиакомпании;Mesa Air—MESA AIR;;
3180;X;Transportation;Перевозки;Airlines;Авиакомпании;Westjet Airlines—WESTJET;;
3181;X;Transportation;Перевозки;Airlines;Авиакомпании;Malev Hungarian Airlines—MALEV;;
3182;X;Transportation;Перевозки;Airlines;Авиакомпании;LOT – Polish Airlines—LOT;;
3183;X;Transportation;Перевозки;Airlines;Авиакомпании;Oman Aviation Services—OMAN AIR;;
3184;X;Transportation;Перевозки;Airlines;Авиакомпании;LIAT—LIAT;;
3185;X;Transportation;Перевозки;Airlines;Авиакомпании;LAV Linea Aeropostal Venezolana—LAV;;
3186;X;Transportation;Перевозки;Airlines;Авиакомпании;LAP Lineas Aereas Paraguayas—LAP;;
3187;X;Transportation;Перевозки;Airlines;Авиакомпании;LACSA (Costa Rica)—LACSA;;
3188;X;Transportation;Перевозки;Airlines;Авиакомпании;Virgin Express—VIR EXP;;
3190;X;Transportation;Перевозки;Airlines;Авиакомпании;Jugoslav Air—JUGOSLAV;;
3191;X;Transportation;Перевозки;Airlines;Авиакомпании;Island Airlines—ISLANDAI;;
3192;X;Transportation;Перевозки;Airlines;Авиакомпании;Iran National;;
3193;X;Transportation;Перевозки;Airlines;Авиакомпании;Indian Airlines—INDIAN A;;
3196;X;Transportation;Перевозки;Airlines;Авиакомпании;Hawaiian Air—HAWAIIAN;;
3197;X;Transportation;Перевозки;Airlines;Авиакомпании;Havasu Airlines—HAVASUAI;;
3200;X;Transportation;Перевозки;Airlines;Авиакомпании;Guyana Airways—GUYANA A;;
3203;X;Transportation;Перевозки;Airlines;Авиакомпании;Golden Pacific Air;;
3204;X;Transportation;Перевозки;Airlines;Авиакомпании;Freedom Airlines—FREEDOM;;
3206;X;Transportation;Перевозки;Airlines;Авиакомпании;China Eastern Airlines—CHINAEAST;;
3211;X;Transportation;Перевозки;Airlines;Авиакомпании;Norwegian Air Shuttle—NORWEGIAN;;
3212;X;Transportation;Перевозки;Airlines;Авиакомпании;Dominicana de Aviacion—DOMINICA;;
3213;X;Transportation;Перевозки;Airlines;Авиакомпании;Malmo Aviation—MALMO AV;;
3215;X;Transportation;Перевозки;Airlines;Авиакомпании;Dan Air Services;;
3216;X;Transportation;Перевозки;Airlines;Авиакомпании;Cumberland Airlines;;
3217;X;Transportation;Перевозки;Airlines;Авиакомпании;CSA Ceskoslovenske Aerolinie—CSA;;
3218;X;Transportation;Перевозки;Airlines;Авиакомпании;Crown Air;;
3219;X;Transportation;Перевозки;Airlines;Авиакомпании;Compania Panamena de Aviacion (Copa)—COPA;;
3220;X;Transportation;Перевозки;Airlines;Авиакомпании;Compania Faucett—COMPANIA;;
3221;X;Transportation;Перевозки;Airlines;Авиакомпании;Transportes Aeros Militares Ecuatorianos—TAME AIR;;
3222;X;Transportation;Перевозки;Airlines;Авиакомпании;Command Airways—COMMAND;;
3223;X;Transportation;Перевозки;Airlines;Авиакомпании;Comair—COMAIR;;
3226;X;Transportation;Перевозки;Airlines;Авиакомпании;Skyways—SKYWAYS;;
3228;X;Transportation;Перевозки;Airlines;Авиакомпании;Cayman Airways—CAYMANAIR;;
3229;X;Transportation;Перевозки;Airlines;Авиакомпании;SAETA (Sociedad Ecuatorianas De Transportes Aereo)—SAETAAIR;;
3231;X;Transportation;Перевозки;Airlines;Авиакомпании;SAHSA (Servicio Aero de Honduras)—SAHSA;;
3233;X;Transportation;Перевозки;Airlines;Авиакомпании;Capitol Air;;
3234;X;Transportation;Перевозки;Airlines;Авиакомпании;Caribbean Airlines—CARIBBEAN;;
3235;X;Transportation;Перевозки;Airlines;Авиакомпании;Brockway Air;;
3236;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Arabia Airline—AIR ARAB;;
3238;X;Transportation;Перевозки;Airlines;Авиакомпании;Bemidji Aviation;;
3239;X;Transportation;Перевозки;Airlines;Авиакомпании;Bar Harbor Airlines—BARHARBO;;
3240;X;Transportation;Перевозки;Airlines;Авиакомпании;Bahamasair—BAHAMASA;;
3241;X;Transportation;Перевозки;Airlines;Авиакомпании;Aviateca (Guatemala)—AVIATECA;;
3242;X;Transportation;Перевозки;Airlines;Авиакомпании;Avensa—AVENSA;;
3243;X;Transportation;Перевозки;Airlines;Авиакомпании;Austrian Air Service—AUSTRAIR;;
3245;X;Transportation;Перевозки;Airlines;Авиакомпании;EasyJet—EASYJET;;
3246;X;Transportation;Перевозки;Airlines;Авиакомпании;Ryanair—RYANAIR;;
3247;X;Transportation;Перевозки;Airlines;Авиакомпании;Gol Airlines—GOL;;
3248;X;Transportation;Перевозки;Airlines;Авиакомпании;Tam Airlines—TAM;;
3251;X;Transportation;Перевозки;Airlines;Авиакомпании;Aloha Airlines;;
3252;X;Transportation;Перевозки;Airlines;Авиакомпании;ALM Antilean Airlines—ALM;;
3253;X;Transportation;Перевозки;Airlines;Авиакомпании;America West—AMERWEST;;
3254;X;Transportation;Перевозки;Airlines;Авиакомпании;Trump Airline  Trumpair;;
3256;X;Transportation;Перевозки;Airlines;Авиакомпании;Alaska Airlines Inc.—ALASKA A;;
3259;X;Transportation;Перевозки;Airlines;Авиакомпании;American Trans Air;;
3260;X;Transportation;Перевозки;Airlines;Авиакомпании;Spirit Airlines—SPIRIT;;
3261;X;Transportation;Перевозки;Airlines;Авиакомпании;Air China—AIR CHINA;;
3262;X;Transportation;Перевозки;Airlines;Авиакомпании;Reno Air, Inc.;;
